Date,Open,High,Low,Close,Volume,Daily_Return,20d_MA,50d_MA
2023-01-02,1814.96,1824.63,1813.17,1822.62,4944655,,,
2023-01-03,1832.45,1851.55,1828.16,1836.7,1446848,0.007725,,
2023-01-04,1856.79,1877.69,1823.86,1849.38,1414982,0.006904,,
2023-01-05,1841.24,1845.8,1824.58,1834.9,549205,-0.00783,,
2023-01-06,1850.1,1861.47,1832.48,1840.5,2119209,0.003052,,
2023-01-09,1822.88,1832.97,1814.95,1819.18,1354122,-0.011584,,
2023-01-10,1818.03,1836.89,1809.49,1821.48,953117,0.001264,,
2023-01-11,1956.11,1957.82,1935.91,1939.3,3365397,0.064684,,
2023-01-12,1937.34,1942.06,1914.48,1937.39,1287346,-0.000985,,
2023-01-13,1891.04,1897.04,1866.73,1883.77,2149309,-0.027676,,
2023-01-16,1862.33,1867.91,1843.48,1858.82,3466888,-0.013245,,
2023-01-17,1832.9,1862.49,1830.89,1853.25,3835414,-0.002997,,
2023-01-18,1825.56,1828.84,1799.73,1811.51,4473778,-0.022523,,
2023-01-19,1767.92,1774.45,1759.57,1773.38,3195829,-0.021049,,
2023-01-20,1739.06,1796.96,1737.55,1774.74,3246673,0.000767,,
2023-01-23,1717.12,1737.25,1710.43,1722.88,2005492,-0.029221,,
2023-01-24,1788.66,1789.99,1771.07,1782.6,1467316,0.034663,,
2023-01-25,1805.28,1821.91,1801.47,1805.18,2394554,0.012667,,
2023-01-26,1807.21,1825.9,1801.69,1811.86,1628879,0.0037,,
2023-01-27,1836.39,1870.62,1826.62,1866.26,2439517,0.030024,1832.28,
2023-01-30,1860.15,1867.03,1852.73,1855.13,2526714,-0.005964,1833.91,
2023-01-31,1825.83,1840.31,1819.6,1819.87,726429,-0.019007,1833.07,
2023-02-01,1827.93,1861.09,1822.31,1825.12,2375998,0.002885,1831.86,
2023-02-02,1839.07,1841.79,1830.38,1841.69,994628,0.009079,1832.2,
2023-02-03,1877.87,1890.59,1855.88,1876.94,855027,0.01914,1834.02,
2023-02-06,1838.09,1844.93,1836.52,1843.8,3450044,-0.017656,1835.25,
