Date,Open,High,Low,Close,Volume,Daily_Return,20d_MA,50d_MA
2023-01-02,923.52,924.45,919.67,924.17,2829238,,,
2023-01-03,917.47,920.25,913.7,914.62,978164,-0.010334,,
2023-01-04,926.11,934.36,926.0,933.52,2705498,0.020664,,
2023-01-05,895.42,901.92,881.33,886.93,1980493,-0.049908,,
2023-01-06,922.97,926.11,917.16,925.97,1924298,0.044017,,
2023-01-09,931.31,931.65,922.69,930.77,2457447,0.005184,,
2023-01-10,911.58,913.59,903.36,913.34,3020391,-0.018726,,
2023-01-11,842.8,844.89,840.28,844.02,2493700,-0.075897,,
2023-01-12,826.06,827.2,819.25,826.55,1700157,-0.020699,,
2023-01-13,838.49,843.1,837.98,840.61,1333721,0.01701,,
2023-01-16,813.61,818.16,805.55,809.86,3057603,-0.036581,,
2023-01-17,827.15,834.25,826.12,827.85,3663467,0.022214,,
2023-01-18,798.36,805.74,797.49,804.11,3197951,-0.028677,,
2023-01-19,834.61,834.63,834.3,834.45,3086374,0.037731,,
2023-01-20,789.15,791.83,786.75,786.91,4079441,-0.056972,,
2023-01-23,811.98,813.6,811.17,813.38,3993070,0.033638,,
2023-01-24,873.65,877.38,870.12,875.24,1341909,0.076053,,
2023-01-25,857.84,862.27,854.05,860.14,1450825,-0.017252,,
2023-01-26,870.7,886.13,858.22,872.53,3089464,0.014405,,
2023-01-27,869.68,874.35,865.73,871.73,1218845,-0.000917,864.84,
2023-01-30,851.61,861.03,846.78,856.56,1541611,-0.017402,861.45,
2023-01-31,829.0,829.54,825.2,827.56,2543100,-0.033856,857.1,
2023-02-01,854.88,863.88,853.58,857.88,1676628,0.036638,853.32,
2023-02-02,861.51,867.79,853.99,858.67,1759763,0.000921,851.91,
2023-02-03,875.58,888.4,874.87,881.0,973057,0.026005,849.66,
2023-02-06,882.52,894.15,877.89,883.62,1500343,0.002974,847.3,
2023-02-07,911.01,921.53,910.82,916.73,2074886,0.037471,847.47,
2023-02-08,918.43,919.98,912.16,913.53,2823452,-0.003491,850.95,
2023-02-09,864.65,868.33,860.78,864.67,2643505,-0.053485,852.85,
2023-02-10,920.95,922.13,919.58,920.39,2870671,0.064441,856.84,
2023-02-13,943.3,950.19,942.04,943.03,1821342,0.024598,863.5,
2023-02-14,917.09,925.34,909.2,919.24,1294560,-0.025227,868.07,
2023-02-15,924.34,925.62,924.26,925.35,1449488,0.006647,874.13,
2023-02-16,913.59,937.3,908.71,927.97,3923612,0.002831,878.81,
