Date,Open,High,Low,Close,Volume,Daily_Return,20d_MA,50d_MA
2023-01-02,669.91,677.11,666.72,676.33,2533701,,,
2023-01-03,691.95,700.97,685.83,692.58,1177536,0.024027,,
2023-01-04,681.52,696.16,680.64,686.78,4161919,-0.008374,,
2023-01-05,692.06,695.21,686.65,694.36,3945058,0.011037,,
2023-01-06,691.12,698.06,688.45,690.73,2317891,-0.005228,,
2023-01-09,693.97,694.45,678.02,685.3,2077102,-0.007861,,
2023-01-10,682.64,688.36,678.45,683.31,3690046,-0.002904,,
2023-01-11,672.65,679.56,666.2,670.65,1332182,-0.018527,,
2023-01-12,663.19,665.73,659.33,660.43,2066995,-0.015239,,
2023-01-13,660.47,661.23,659.21,660.25,1217564,-0.000273,,
2023-01-16,647.59,650.07,641.59,645.79,995541,-0.021901,,
2023-01-17,632.1,633.17,625.22,628.51,788656,-0.026758,,
2023-01-18,636.19,637.3,633.58,635.57,894586,0.011233,,
2023-01-19,628.52,635.03,626.31,626.53,1700606,-0.014223,,
2023-01-20,629.23,634.11,628.1,633.8,1622621,0.011604,,
2023-01-23,624.2,625.49,623.21,624.79,2221729,-0.014216,,
2023-01-24,622.6,628.64,611.98,620.66,4541974,-0.00661,,
2023-01-25,628.81,635.44,628.72,630.53,2787804,0.015902,,
2023-01-26,618.41,625.91,617.91,622.47,1203695,-0.012783,,
2023-01-27,635.16,644.21,634.36,642.66,3606528,0.032435,655.6,
2023-01-30,649.45,651.72,648.88,649.27,3095962,0.010285,654.25,
2023-01-31,666.35,670.51,666.05,666.87,5538101,0.027107,652.96,
2023-02-01,672.02,677.09,670.16,675.96,8189173,0.013631,652.42,
2023-02-02,684.1,688.22,680.66,686.74,2913052,0.015948,652.04,
2023-02-03,671.06,674.94,667.97,671.22,5562881,-0.0226,651.07,
2023-02-06,676.08,679.6,676.0,678.6,684126,0.010995,650.73,
2023-02-07,689.42,690.19,679.67,679.75,1310819,0.001695,650.55,
2023-02-08,677.14,685.74,674.12,683.69,1076311,0.005796,651.2,
2023-02-09,681.55,682.63,676.8,681.1,2431528,-0.003788,652.24,
2023-02-10,669.85,675.26,668.05,673.48,1014346,-0.011188,652.9,
2023-02-13,715.62,718.16,703.39,711.07,896743,0.055815,656.16,
2023-02-14,703.12,709.1,697.0,703.45,874997,-0.010716,659.91,
2023-02-15,701.54,706.19,700.43,701.41,11889371,-0.0029,663.2,
2023-02-16,710.92,712.37,706.59,707.58,2188644,0.008797,667.26,
2023-02-17,734.08,741.82,732.39,735.17,1137304,0.038992,672.32,
2023-02-20,722.62,726.77,721.82,722.47,5647838,-0.017275,677.21,
2023-02-21,717.32,721.37,712.94,714.18,1647731,-0.011475,681.88,
2023-02-22,697.21,700.4,696.24,697.05,1389207,-0.023986,685.21,
2023-02-23,713.15,722.74,701.85,710.87,641808,0.019826,689.63,
2023-02-24,728.32,731.92,725.79,725.8,910454,0.021002,693.79,
2023-02-27,731.93,736.4,725.07,731.0,2087363,0.007165,697.87,
2023-02-28,726.44,732.09,724.97,727.49,1222440,-0.004802,700.9,
2023-03-01,740.19,741.12,739.51,739.74,831382,0.016839,704.09,
2023-03-02,739.42,744.57,728.03,740.04,3523924,0.000406,706.76,
2023-03-03,753.2,755.19,742.5,744.71,2504239,0.00631,710.43,
2023-03-06,717.24,719.23,716.79,718.16,4676653,-0.035651,712.41,
2023-03-07,708.4,709.13,701.75,708.77,1506981,-0.013075,713.86,
2023-03-08,703.87,711.45,703.33,706.13,2036128,-0.003725,714.98,
2023-03-09,696.04,700.51,692.61,699.33,1476018,-0.00963,715.9,
2023-03-10,680.58,690.52,679.85,686.74,820324,-0.018003,716.56,683.8
2023-03-13,687.23,692.15,675.27,680.15,4260619,-0.009596,715.01,683.87
2023-03-14,677.83,689.89,676.98,678.43,4915015,-0.002529,713.76,683.59
2023-03-15,690.53,692.87,681.03,684.89,3183316,0.009522,712.94,683.55
2023-03-16,670.5,672.07,665.98,671.76,4954029,-0.019171,711.14,683.1
2023-03-17,669.43,669.81,665.66,667.25,2617972,-0.006714,707.75,682.63
2023-03-20,677.34,682.4,670.38,674.62,2388926,0.011045,705.36,682.42
2023-03-21,656.59,665.12,653.42,663.01,1739611,-0.01721,702.8,682.01
2023-03-22,656.31,661.64,652.37,656.35,1312664,-0.010045,700.76,681.73
2023-03-23,660.39,662.09,652.57,657.34,4933554,0.001508,698.09,681.66
2023-03-24,668.6,674.63,666.44,671.42,1025683,0.02142,695.37,681.89
2023-03-27,669.77,677.32,667.99,674.34,1158872,0.004349,692.53,682.46
2023-03-28,662.69,666.69,654.87,662.97,2872590,-0.016861,689.31,683.15
2023-03-29,667.31,673.78,666.68,670.42,2811464,0.011237,685.84,683.84
2023-03-30,660.04,667.45,657.45,659.88,1905333,-0.015721,681.83,684.51
2023-03-31,667.21,673.19,664.36,664.87,1692861,0.007562,677.84,685.13
2023-04-03,673.61,675.35,671.25,673.77,2919073,0.013386,675.62,686.11
2023-04-04,678.5,687.21,678.3,683.86,1712648,0.014975,674.38,687.38
2023-04-05,698.53,703.19,689.7,699.85,2911911,0.023382,674.06,688.76
2023-04-06,711.89,716.14,706.41,708.6,3815522,0.012503,674.53,690.49
2023-04-07,723.74,723.84,712.5,721.94,5682292,0.018826,676.29,692.07
2023-04-10,716.7,727.26,713.57,718.27,4972437,-0.005084,678.19,693.45
2023-04-11,728.25,729.26,727.13,728.33,2775353,0.014006,680.69,694.68
2023-04-12,737.96,742.71,733.99,737.49,2135323,0.012577,683.32,695.91
2023-04-13,752.76,761.45,751.01,754.38,1800864,0.022902,687.45,697.26
2023-04-14,777.89,782.5,776.14,782.48,4434323,0.037249,693.21,699.49
2023-04-17,791.47,795.62,781.55,789.16,2480810,0.008537,698.94,701.7
2023-04-18,816.83,822.39,816.72,818.91,2434867,0.037698,706.73,704.48
2023-04-19,833.65,836.5,822.08,827.69,2676070,0.010722,715.3,707.36
2023-04-20,815.73,833.06,812.58,829.36,1659514,0.002018,723.9,710.33
2023-04-21,807.68,809.49,805.04,806.02,3138218,-0.028142,730.63,712.98
2023-04-24,799.93,801.24,799.81,800.28,1512091,-0.007121,736.93,714.76
2023-04-25,813.47,816.52,812.66,814.82,3202708,0.018169,744.52,716.99
2023-04-26,830.4,830.44,819.22,825.13,1357361,0.012653,752.25,719.47
2023-04-27,823.05,830.95,822.53,830.45,1844892,0.006447,760.78,721.92
2023-04-28,822.62,825.08,822.43,823.79,1266861,-0.00802,768.73,723.7
2023-05-01,805.4,819.67,803.79,815.07,1726235,-0.010585,775.79,725.55
2023-05-02,812.48,813.9,811.93,812.33,2643633,-0.003362,782.22,727.51
2023-05-03,799.61,811.18,797.88,804.41,1255806,-0.00975,787.45,729.66
2023-05-04,793.77,802.56,791.43,794.32,2210780,-0.012543,791.73,731.33
2023-05-05,785.52,791.99,784.33,789.9,1578293,-0.005565,795.13,732.61
2023-05-08,794.03,795.79,786.8,790.43,679070,0.000671,798.74,733.8
2023-05-09,796.21,801.54,787.37,794.78,2004339,0.005503,802.06,735.14
2023-05-10,797.5,805.69,793.89,794.4,1202804,-0.000478,804.91,736.24
2023-05-11,787.11,793.05,775.21,778.59,5307841,-0.019902,806.12,737.01
2023-05-12,787.9,788.66,783.87,786.34,623682,0.009954,806.31,737.84
2023-05-15,766.9,773.79,760.21,770.71,1895803,-0.019877,805.39,738.89
2023-05-16,785.78,789.57,783.17,789.18,1591354,0.023965,803.9,740.5
2023-05-17,782.65,795.01,779.63,782.71,2438678,-0.008198,801.65,742.03
2023-05-18,802.34,821.55,796.61,811.01,1802297,0.036156,800.73,744.26
2023-05-19,782.63,787.34,776.35,781.94,2523741,-0.035844,799.53,746.17
2023-05-22,778.28,779.84,770.88,774.65,1434786,-0.009323,798.25,748.06
2023-05-23,780.75,782.13,780.52,780.94,2589698,0.00812,796.55,750.11
2023-05-24,799.03,802.52,794.65,799.24,1726635,0.023433,795.26,752.4
2023-05-25,804.08,809.05,802.68,806.03,1102728,0.008496,794.04,755.08
2023-05-26,807.54,814.99,807.53,812.99,1164720,0.008635,793.5,758.0
2023-05-29,811.2,820.8,809.48,818.35,2997636,0.006593,793.66,760.87
2023-05-30,792.53,792.84,788.95,789.15,1148755,-0.035682,792.5,763.39
2023-05-31,782.75,785.43,780.42,780.85,3382049,-0.010518,791.33,765.88
2023-06-01,768.16,776.16,756.33,773.32,1469102,-0.009643,790.28,768.2
2023-06-02,790.11,793.1,786.99,790.78,1018659,0.022578,790.32,770.59
2023-06-05,799.76,804.17,799.52,802.79,20910095,0.015188,790.94,773.16
2023-06-06,798.65,807.9,796.88,804.6,1738976,0.002255,791.43,775.99
2023-06-07,805.16,807.67,801.27,804.94,2416196,0.000423,791.96,778.68
2023-06-08,790.85,797.67,786.44,794.2,1480225,-0.013343,792.74,781.37
2023-06-09,787.6,789.82,782.95,787.56,3124400,-0.008361,792.8,783.82
2023-06-12,795.15,799.88,795.06,799.15,1794554,0.014716,794.22,786.33
2023-06-13,801.4,809.86,796.94,801.55,3100280,0.003003,794.84,788.68
